query_model,db_model,dim_x,dim_y,same_dim,K,seed,sim_mean,method,zscore_applied,alpha,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
A,B,384,1024,False,10,42,-0.04831584170460701,RAT,True,,0.06,0.186,0.276,0.13613191208478173,30
A,B,384,1024,False,10,42,-0.04831584170460701,Ridge,,0.0001,0.03,0.14,0.23,0.09145630893514686,46
A,B,384,1024,False,10,42,-0.04831584170460701,Affine,,0.0001,0.02,0.07,0.114,0.052919600609210055,124
A,B,384,1024,False,25,42,-0.014591095969080925,RAT,True,,0.174,0.444,0.574,0.29950471957836133,7
A,B,384,1024,False,25,42,-0.014591095969080925,Ridge,,100.0,0.116,0.326,0.472,0.22056626341375846,12
A,B,384,1024,False,25,42,-0.014591095969080925,Affine,,0.0001,0.058,0.156,0.226,0.1138751748992231,48
A,B,384,1024,False,50,42,0.00020729376410599798,RAT,True,,0.388,0.66,0.784,0.5163287484907642,2
A,B,384,1024,False,50,42,0.00020729376410599798,Ridge,,1.0,0.222,0.502,0.598,0.3464990265883198,5
A,B,384,1024,False,50,42,0.00020729376410599798,Affine,,0.0001,0.16,0.36,0.48,0.2649420242324744,13
A,B,384,1024,False,100,42,0.009078794158995152,RAT,True,,0.58,0.85,0.914,0.6974041685290722,1
A,B,384,1024,False,100,42,0.009078794158995152,Ridge,,0.01,0.464,0.71,0.808,0.5793490872419476,2
A,B,384,1024,False,100,42,0.009078794158995152,Affine,,0.01,0.444,0.708,0.8,0.5636289125005353,2
A,B,384,1024,False,200,42,0.01257164403796196,RAT,True,,0.752,0.942,0.966,0.8315292258633608,1
A,B,384,1024,False,200,42,0.01257164403796196,Ridge,,1.0,0.65,0.872,0.92,0.7435415375479799,1
A,B,384,1024,False,200,42,0.01257164403796196,Affine,,0.01,0.638,0.866,0.894,0.7374231272932256,1
A,B,384,1024,False,500,42,0.017516398802399635,RAT,True,,0.808,0.974,0.982,0.879924149275717,1
A,B,384,1024,False,500,42,0.017516398802399635,Ridge,,1.0,0.87,0.966,0.972,0.914814020726995,1
A,B,384,1024,False,500,42,0.017516398802399635,Affine,,1.0,0.852,0.958,0.98,0.901558138207437,1
A,C,384,384,True,10,42,-0.04831584170460701,RAT,True,,0.128,0.364,0.496,0.24881110486112798,11
A,C,384,384,True,10,42,-0.04831584170460701,Procrustes,,,0.022,0.092,0.148,0.06483345026684857,98
A,C,384,384,True,10,42,-0.04831584170460701,Ridge,,0.0001,0.054,0.17,0.288,0.12792884132173812,27
A,C,384,384,True,10,42,-0.04831584170460701,Affine,,0.0001,0.026,0.076,0.14,0.06547619389058203,118
A,C,384,384,True,25,42,-0.014591095969080925,RAT,True,,0.436,0.724,0.82,0.5694341804132953,2
A,C,384,384,True,25,42,-0.014591095969080925,Procrustes,,,0.096,0.264,0.372,0.18639196485425788,21
A,C,384,384,True,25,42,-0.014591095969080925,Ridge,,1.0,0.214,0.462,0.598,0.33616892493439526,7
A,C,384,384,True,25,42,-0.014591095969080925,Affine,,0.0001,0.098,0.258,0.366,0.1831805048298495,25
A,C,384,384,True,50,42,0.00020729376410599798,RAT,True,,0.73,0.928,0.972,0.818248916597767,1
A,C,384,384,True,50,42,0.00020729376410599798,Procrustes,,,0.33,0.648,0.772,0.47562289209939695,3
A,C,384,384,True,50,42,0.00020729376410599798,Ridge,,1.0,0.494,0.796,0.886,0.6284952187768262,2
A,C,384,384,True,50,42,0.00020729376410599798,Affine,,0.0001,0.372,0.666,0.786,0.5058110517956182,3
A,C,384,384,True,100,42,0.009078794158995152,RAT,True,,0.936,0.994,0.998,0.960529797979798,1
A,C,384,384,True,100,42,0.009078794158995152,Procrustes,,,0.766,0.956,0.976,0.8456006993902156,1
A,C,384,384,True,100,42,0.009078794158995152,Ridge,,0.0001,0.794,0.964,0.984,0.866505371383003,1
A,C,384,384,True,100,42,0.009078794158995152,Affine,,0.0001,0.748,0.966,0.984,0.84001060731539,1
A,C,384,384,True,200,42,0.01257164403796196,RAT,True,,0.974,0.998,1.0,0.985352380952381,1
A,C,384,384,True,200,42,0.01257164403796196,Procrustes,,,0.968,0.998,1.0,0.9829166666666667,1
A,C,384,384,True,200,42,0.01257164403796196,Ridge,,1.0,0.922,0.992,0.996,0.953278767431399,1
A,C,384,384,True,200,42,0.01257164403796196,Affine,,0.01,0.942,0.994,0.998,0.9673611111111111,1
A,C,384,384,True,500,42,0.017516398802399635,RAT,True,,0.986,1.0,1.0,0.9925,1
A,C,384,384,True,500,42,0.017516398802399635,Procrustes,,,0.994,1.0,1.0,0.997,1
A,C,384,384,True,500,42,0.017516398802399635,Ridge,,1.0,0.98,0.998,1.0,0.989,1
A,C,384,384,True,500,42,0.017516398802399635,Affine,,0.01,0.976,1.0,1.0,0.9873333333333333,1
A,D,384,512,False,10,42,-0.04831584170460701,RAT,True,,0.014,0.084,0.126,0.05986950601671699,82
A,D,384,512,False,10,42,-0.04831584170460701,Ridge,,0.0001,0.024,0.07,0.122,0.058204811398350875,119
A,D,384,512,False,10,42,-0.04831584170460701,Affine,,0.0001,0.008,0.048,0.064,0.03318942883188306,201
A,D,384,512,False,25,42,-0.014591095969080925,RAT,True,,0.04,0.134,0.238,0.10555090491846494,38
A,D,384,512,False,25,42,-0.014591095969080925,Ridge,,0.0001,0.032,0.134,0.182,0.08977271749519528,80
A,D,384,512,False,25,42,-0.014591095969080925,Affine,,0.0001,0.026,0.076,0.11,0.0593633699004962,153
A,D,384,512,False,50,42,0.00020729376410599798,RAT,True,,0.07,0.236,0.356,0.15760393762041286,23
A,D,384,512,False,50,42,0.00020729376410599798,Ridge,,1.0,0.06,0.182,0.27,0.13156556686514703,37
A,D,384,512,False,50,42,0.00020729376410599798,Affine,,0.01,0.042,0.12,0.178,0.08938853296151152,88
A,D,384,512,False,100,42,0.009078794158995152,RAT,True,,0.122,0.34,0.442,0.2288806340041001,15
A,D,384,512,False,100,42,0.009078794158995152,Ridge,,0.0001,0.132,0.304,0.392,0.22099794686967228,22
A,D,384,512,False,100,42,0.009078794158995152,Affine,,0.01,0.104,0.228,0.286,0.1713943863383663,40
A,D,384,512,False,200,42,0.01257164403796196,RAT,True,,0.182,0.422,0.542,0.3003417791241088,8
A,D,384,512,False,200,42,0.01257164403796196,Ridge,,0.01,0.208,0.376,0.46,0.2917748777572965,14
A,D,384,512,False,200,42,0.01257164403796196,Affine,,0.0001,0.182,0.34,0.426,0.2664051358903754,16
A,D,384,512,False,500,42,0.017516398802399635,RAT,True,,0.228,0.488,0.594,0.356182829652265,6
A,D,384,512,False,500,42,0.017516398802399635,Ridge,,0.01,0.35,0.584,0.664,0.4568894698232796,3
A,D,384,512,False,500,42,0.017516398802399635,Affine,,0.01,0.324,0.536,0.62,0.4266135727711579,4
A,E,384,1024,False,10,42,-0.04831584170460701,RAT,True,,0.068,0.218,0.352,0.15917389707110974,23
A,E,384,1024,False,10,42,-0.04831584170460701,Ridge,,100.0,0.042,0.162,0.258,0.1112907133871597,38
