query_model,db_model,dim_x,dim_y,same_dim,K,seed,sim_mean,method,zscore_applied,alpha,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
A,B,384,1024,False,10,314,-0.03529377654194832,RAT,True,,0.072,0.186,0.276,0.1395530521579307,34
A,B,384,1024,False,10,314,-0.03529377654194832,Ridge,,1.0,0.04,0.124,0.222,0.0979345171101385,44
A,B,384,1024,False,10,314,-0.03529377654194832,Affine,,0.0001,0.018,0.054,0.098,0.049535819787174404,132
A,B,384,1024,False,25,314,-0.009995854459702969,RAT,True,,0.184,0.386,0.502,0.2932885001406937,10
A,B,384,1024,False,25,314,-0.009995854459702969,Ridge,,1.0,0.114,0.318,0.414,0.21327825640031256,16
A,B,384,1024,False,25,314,-0.009995854459702969,Affine,,0.0001,0.064,0.17,0.234,0.12349935942680895,44
A,B,384,1024,False,50,314,-0.0023750117979943752,RAT,True,,0.358,0.612,0.74,0.47735548156394364,3
A,B,384,1024,False,50,314,-0.0023750117979943752,Ridge,,0.01,0.246,0.448,0.568,0.34875867568157126,7
A,B,384,1024,False,50,314,-0.0023750117979943752,Affine,,0.0001,0.184,0.38,0.482,0.28529329639202095,11
A,B,384,1024,False,100,314,0.0069157131947577,RAT,True,,0.514,0.8,0.878,0.6397476689726986,1
A,B,384,1024,False,100,314,0.0069157131947577,Ridge,,1.0,0.436,0.732,0.824,0.5632287109862073,2
A,B,384,1024,False,100,314,0.0069157131947577,Affine,,0.0001,0.418,0.686,0.79,0.5381052514598939,2
A,B,384,1024,False,200,314,0.012948459945619106,RAT,True,,0.724,0.908,0.958,0.8060621260945047,1
A,B,384,1024,False,200,314,0.012948459945619106,Ridge,,1.0,0.62,0.858,0.912,0.7283937827313832,1
A,B,384,1024,False,200,314,0.012948459945619106,Affine,,0.01,0.614,0.838,0.912,0.7118942007696029,1
A,B,384,1024,False,500,314,0.019699418917298317,RAT,True,,0.78,0.954,0.97,0.8567023970561315,1
A,B,384,1024,False,500,314,0.019699418917298317,Ridge,,1.0,0.832,0.956,0.978,0.8864427836480319,1
A,B,384,1024,False,500,314,0.019699418917298317,Affine,,0.01,0.838,0.936,0.956,0.8834131578035828,1
A,C,384,384,True,10,314,-0.03529377654194832,RAT,True,,0.13,0.34,0.494,0.24117825684529232,11
A,C,384,384,True,10,314,-0.03529377654194832,Procrustes,,,0.03,0.084,0.148,0.07006158758680635,83
A,C,384,384,True,10,314,-0.03529377654194832,Ridge,,100.0,0.07,0.194,0.312,0.1502706216852588,21
A,C,384,384,True,10,314,-0.03529377654194832,Affine,,0.0001,0.016,0.088,0.152,0.06626704804698927,73
A,C,384,384,True,25,314,-0.009995854459702969,RAT,True,,0.436,0.714,0.792,0.5596235142766972,2
A,C,384,384,True,25,314,-0.009995854459702969,Procrustes,,,0.126,0.3,0.39,0.22462817056324275,18
A,C,384,384,True,25,314,-0.009995854459702969,Ridge,,1.0,0.25,0.548,0.698,0.3870256128993693,4
A,C,384,384,True,25,314,-0.009995854459702969,Affine,,0.0001,0.09,0.274,0.374,0.18854943688281992,16
A,C,384,384,True,50,314,-0.0023750117979943752,RAT,True,,0.74,0.904,0.944,0.815119060228139,1
A,C,384,384,True,50,314,-0.0023750117979943752,Procrustes,,,0.33,0.616,0.724,0.464620440114288,3
A,C,384,384,True,50,314,-0.0023750117979943752,Ridge,,1.0,0.534,0.808,0.898,0.6565699584688532,1
A,C,384,384,True,50,314,-0.0023750117979943752,Affine,,0.0001,0.37,0.664,0.782,0.5130967220564017,2
A,C,384,384,True,100,314,0.0069157131947577,RAT,True,,0.89,0.97,0.988,0.9237721066233623,1
A,C,384,384,True,100,314,0.0069157131947577,Procrustes,,,0.778,0.948,0.966,0.8525523469220468,1
A,C,384,384,True,100,314,0.0069157131947577,Ridge,,1.0,0.73,0.93,0.968,0.8218410690187007,1
A,C,384,384,True,100,314,0.0069157131947577,Affine,,0.0001,0.724,0.934,0.97,0.8172303509393685,1
A,C,384,384,True,200,314,0.012948459945619106,RAT,True,,0.968,0.992,0.994,0.9793846828609987,1
A,C,384,384,True,200,314,0.012948459945619106,Procrustes,,,0.964,0.998,1.0,0.9800333333333333,1
A,C,384,384,True,200,314,0.012948459945619106,Ridge,,0.01,0.892,0.984,0.99,0.931451889483066,1
A,C,384,384,True,200,314,0.012948459945619106,Affine,,0.01,0.916,0.98,0.994,0.9469950503290747,1
A,C,384,384,True,500,314,0.019699418917298317,RAT,True,,0.968,0.994,0.994,0.9804635308385309,1
A,C,384,384,True,500,314,0.019699418917298317,Procrustes,,,0.988,0.998,1.0,0.9933333333333334,1
A,C,384,384,True,500,314,0.019699418917298317,Ridge,,1.0,0.98,0.998,0.998,0.9880151515151515,1
A,C,384,384,True,500,314,0.019699418917298317,Affine,,1.0,0.968,1.0,1.0,0.9828333333333332,1
A,N,384,768,False,10,314,-0.03529377654194832,RAT,True,,0.0,0.008,0.018,0.01176898000281117,265
A,N,384,768,False,10,314,-0.03529377654194832,Ridge,,0.0001,0.0,0.0,0.008,0.00925499775617085,240
A,N,384,768,False,10,314,-0.03529377654194832,Affine,,100.0,0.002,0.01,0.02,0.013533404459162504,250
A,N,384,768,False,25,314,-0.009995854459702969,RAT,True,,0.0,0.006,0.01,0.010660552445316294,247
A,N,384,768,False,25,314,-0.009995854459702969,Ridge,,0.0001,0.0,0.008,0.022,0.012143940715135658,250
A,N,384,768,False,25,314,-0.009995854459702969,Affine,,1.0,0.002,0.012,0.026,0.013738836534527532,253
A,N,384,768,False,50,314,-0.0023750117979943752,RAT,True,,0.0,0.002,0.012,0.00974340549772775,264
A,N,384,768,False,50,314,-0.0023750117979943752,Ridge,,100.0,0.002,0.008,0.014,0.012243072221462262,252
A,N,384,768,False,50,314,-0.0023750117979943752,Affine,,0.0001,0.002,0.006,0.012,0.011829700969253131,245
A,N,384,768,False,100,314,0.0069157131947577,RAT,True,,0.0,0.016,0.026,0.013210251380526639,246
A,N,384,768,False,100,314,0.0069157131947577,Ridge,,1.0,0.006,0.01,0.024,0.01655726609917432,249
A,N,384,768,False,100,314,0.0069157131947577,Affine,,0.01,0.006,0.014,0.026,0.01800603490072298,241
A,N,384,768,False,200,314,0.012948459945619106,RAT,True,,0.002,0.018,0.028,0.015277943804750662,246
A,N,384,768,False,200,314,0.012948459945619106,Ridge,,100.0,0.004,0.01,0.022,0.015088512016565877,247
A,N,384,768,False,200,314,0.012948459945619106,Affine,,100.0,0.002,0.01,0.018,0.013562002227870287,249
A,N,384,768,False,500,314,0.019699418917298317,RAT,True,,0.0,0.012,0.02,0.012659368841142849,263
A,N,384,768,False,500,314,0.019699418917298317,Ridge,,1.0,0.006,0.008,0.018,0.015587685328521656,255
A,N,384,768,False,500,314,0.019699418917298317,Affine,,0.01,0.004,0.012,0.02,0.015050047089851755,262
A,O,384,384,True,10,314,-0.03529377654194832,RAT,True,,0.006,0.012,0.02,0.01599119406057576,254
A,O,384,384,True,10,314,-0.03529377654194832,Procrustes,,,0.004,0.018,0.026,0.016578499066552673,256
A,O,384,384,True,10,314,-0.03529377654194832,Ridge,,0.0001,0.002,0.004,0.014,0.011941203686910708,240
A,O,384,384,True,10,314,-0.03529377654194832,Affine,,0.0001,0.002,0.008,0.026,0.013483338961240545,241
A,O,384,384,True,25,314,-0.009995854459702969,RAT,True,,0.0,0.006,0.01,0.010127478319781929,247
A,O,384,384,True,25,314,-0.009995854459702969,Procrustes,,,0.0,0.014,0.02,0.01305150290938632,233
A,O,384,384,True,25,314,-0.009995854459702969,Ridge,,1.0,0.002,0.006,0.024,0.013263405309053311,245
A,O,384,384,True,25,314,-0.009995854459702969,Affine,,0.0001,0.002,0.006,0.016,0.012562310266735021,252
