query,db,query_family,db_family,query_params,db_params,query_training,db_training,query_lang,db_lang,query_sim_mean,query_sim_std,db_sim_mean,db_sim_std,anchor_ent_q,anchor_ent_db,same_family,same_training,same_lang,baseline_r1,zscore_db_r1,best_r1
A,B,MiniLM,E5,22M,560M,contrastive_distill,weak_sup_distill,en,multi,0.028153816238045692,0.09815126657485962,0.7161543369293213,0.043992552906274796,6.197636127471924,6.207587718963623,0,0,0,0.798,0.79,0.798
A,C,MiniLM,BGE,22M,33M,contrastive_distill,contrastive_retromae,en,en,0.028153816238045692,0.09815126657485962,0.40169668197631836,0.07173062115907669,6.197636127471924,6.199326038360596,0,0,1,0.97,0.972,0.972
A,D,MiniLM,CLIP,22M,63M,contrastive_distill,clip_contrastive,en,en,0.028153816238045692,0.09815126657485962,0.587990939617157,0.12817613780498505,6.197636127471924,6.177170276641846,0,0,1,0.142,0.254,0.254
A,E,MiniLM,BGE,22M,335M,contrastive_distill,contrastive_retromae,en,en,0.028153816238045692,0.09815126657485962,0.5284730195999146,0.07011276483535767,6.197636127471924,6.19892692565918,0,0,1,0.804,0.824,0.824
A,F,MiniLM,E5,22M,33M,contrastive_distill,weak_sup_distill,en,en,0.028153816238045692,0.09815126657485962,0.7049130201339722,0.042059268802404404,6.197636127471924,6.20759391784668,0,0,1,0.884,0.88,0.884
A,G,MiniLM,E5,22M,118M,contrastive_distill,weak_sup_distill,en,multi,0.028153816238045692,0.09815126657485962,0.734490692615509,0.044223904609680176,6.197636127471924,6.207645893096924,0,0,0,0.806,0.832,0.832
A,H,MiniLM,GTE,22M,33M,contrastive_distill,multistage_contrastive,en,en,0.028153816238045692,0.09815126657485962,0.701171875,0.041290283203125,6.197636127471924,6.209414958953857,0,0,1,0.932,0.894,0.932
A,I,MiniLM,GTE,22M,335M,contrastive_distill,multistage_contrastive,en,en,0.028153816238045692,0.09815126657485962,0.6904296875,0.0394287109375,6.197636127471924,6.209596633911133,0,0,1,0.876,0.814,0.876
A,J,MiniLM,MPNet,22M,109M,contrastive_distill,mse_distill,en,en,0.028153816238045692,0.09815126657485962,0.027711626142263412,0.08671156316995621,6.197636127471924,6.200104713439941,0,0,1,0.982,0.966,0.982
A,K,MiniLM,BGE,22M,109M,contrastive_distill,contrastive_retromae,en,en,0.028153816238045692,0.09815126657485962,0.4079745411872864,0.07462694495916367,6.197636127471924,6.19953727722168,0,0,1,0.948,0.938,0.948
B,A,E5,MiniLM,560M,22M,weak_sup_distill,contrastive_distill,multi,en,0.7161543369293213,0.043992552906274796,0.028153816238045692,0.09815126657485962,6.207598686218262,6.195011615753174,0,0,0,0.008,0.664,0.664
B,C,E5,BGE,560M,33M,weak_sup_distill,contrastive_retromae,multi,en,0.7161543369293213,0.043992552906274796,0.40169668197631836,0.07173062115907669,6.207598686218262,6.198018550872803,0,0,0,0.242,0.728,0.728
B,D,E5,CLIP,560M,63M,weak_sup_distill,clip_contrastive,multi,en,0.7161543369293213,0.043992552906274796,0.587990939617157,0.12817613780498505,6.207598686218262,6.179022312164307,0,0,0,0.004,0.098,0.098
B,E,E5,BGE,560M,335M,weak_sup_distill,contrastive_retromae,multi,en,0.7161543369293213,0.043992552906274796,0.5284730195999146,0.07011276483535767,6.207598686218262,6.19734001159668,0,0,0,0.1,0.504,0.504
B,F,E5,E5,560M,33M,weak_sup_distill,weak_sup_distill,multi,en,0.7161543369293213,0.043992552906274796,0.7049130201339722,0.042059268802404404,6.207598686218262,6.207374095916748,1,1,0,0.9,0.876,0.9
B,G,E5,E5,560M,118M,weak_sup_distill,weak_sup_distill,multi,multi,0.7161543369293213,0.043992552906274796,0.734490692615509,0.044223904609680176,6.207598686218262,6.207073211669922,1,1,1,0.958,0.958,0.958
B,H,E5,GTE,560M,33M,weak_sup_distill,multistage_contrastive,multi,en,0.7161543369293213,0.043992552906274796,0.701171875,0.041290283203125,6.207598686218262,6.209174633026123,0,0,0,0.698,0.256,0.698
B,I,E5,GTE,560M,335M,weak_sup_distill,multistage_contrastive,multi,en,0.7161543369293213,0.043992552906274796,0.6904296875,0.0394287109375,6.207598686218262,6.209565162658691,0,0,0,0.72,0.248,0.72
B,J,E5,MPNet,560M,109M,weak_sup_distill,mse_distill,multi,en,0.7161543369293213,0.043992552906274796,0.027711626142263412,0.08671156316995621,6.207598686218262,6.198619842529297,0,0,0,0.012,0.736,0.736
B,K,E5,BGE,560M,109M,weak_sup_distill,contrastive_retromae,multi,en,0.7161543369293213,0.043992552906274796,0.4079745411872864,0.07462694495916367,6.207598686218262,6.198395252227783,0,0,0,0.22,0.672,0.672
C,A,BGE,MiniLM,33M,22M,contrastive_retromae,contrastive_distill,en,en,0.40169668197631836,0.07173062115907669,0.028153816238045692,0.09815126657485962,6.200589656829834,6.196190357208252,0,0,1,0.34,0.942,0.942
C,B,BGE,E5,33M,560M,contrastive_retromae,weak_sup_distill,en,multi,0.40169668197631836,0.07173062115907669,0.7161543369293213,0.043992552906274796,6.200589656829834,6.207395553588867,0,0,0,0.714,0.71,0.714
C,D,BGE,CLIP,33M,63M,contrastive_retromae,clip_contrastive,en,en,0.40169668197631836,0.07173062115907669,0.587990939617157,0.12817613780498505,6.200589656829834,6.173957824707031,0,0,1,0.054,0.316,0.316
C,E,BGE,BGE,33M,335M,contrastive_retromae,contrastive_retromae,en,en,0.40169668197631836,0.07173062115907669,0.5284730195999146,0.07011276483535767,6.200589656829834,6.198962688446045,1,1,1,0.656,0.808,0.808
C,F,BGE,E5,33M,33M,contrastive_retromae,weak_sup_distill,en,en,0.40169668197631836,0.07173062115907669,0.7049130201339722,0.042059268802404404,6.200589656829834,6.207925796508789,0,0,1,0.882,0.884,0.884
C,G,BGE,E5,33M,118M,contrastive_retromae,weak_sup_distill,en,multi,0.40169668197631836,0.07173062115907669,0.734490692615509,0.044223904609680176,6.200589656829834,6.207674980163574,0,0,0,0.76,0.758,0.76
C,H,BGE,GTE,33M,33M,contrastive_retromae,multistage_contrastive,en,en,0.40169668197631836,0.07173062115907669,0.701171875,0.041290283203125,6.200589656829834,6.209010601043701,0,0,1,0.994,0.942,0.994
C,I,BGE,GTE,33M,335M,contrastive_retromae,multistage_contrastive,en,en,0.40169668197631836,0.07173062115907669,0.6904296875,0.0394287109375,6.200589656829834,6.209549903869629,0,0,1,0.948,0.684,0.948
C,J,BGE,MPNet,33M,109M,contrastive_retromae,mse_distill,en,en,0.40169668197631836,0.07173062115907669,0.027711626142263412,0.08671156316995621,6.200589656829834,6.1996660232543945,0,0,1,0.294,0.866,0.866
C,K,BGE,BGE,33M,109M,contrastive_retromae,contrastive_retromae,en,en,0.40169668197631836,0.07173062115907669,0.4079745411872864,0.07462694495916367,6.200589656829834,6.199830532073975,1,1,1,0.99,0.974,0.99
D,A,CLIP,MiniLM,63M,22M,clip_contrastive,contrastive_distill,en,en,0.587990939617157,0.12817613780498505,0.028153816238045692,0.09815126657485962,6.170941352844238,6.193130016326904,0,0,1,0.006,0.202,0.202
D,B,CLIP,E5,63M,560M,clip_contrastive,weak_sup_distill,en,multi,0.587990939617157,0.12817613780498505,0.7161543369293213,0.043992552906274796,6.170941352844238,6.204975128173828,0,0,0,0.172,0.174,0.174
D,C,CLIP,BGE,63M,33M,clip_contrastive,contrastive_retromae,en,en,0.587990939617157,0.12817613780498505,0.40169668197631836,0.07173062115907669,6.170941352844238,6.1969099044799805,0,0,1,0.106,0.18,0.18
D,E,CLIP,BGE,63M,335M,clip_contrastive,contrastive_retromae,en,en,0.587990939617157,0.12817613780498505,0.5284730195999146,0.07011276483535767,6.170941352844238,6.19852352142334,0,0,1,0.16,0.208,0.208
D,F,CLIP,E5,63M,33M,clip_contrastive,weak_sup_distill,en,en,0.587990939617157,0.12817613780498505,0.7049130201339722,0.042059268802404404,6.170941352844238,6.207066059112549,0,0,1,0.134,0.132,0.134
D,G,CLIP,E5,63M,118M,clip_contrastive,weak_sup_distill,en,multi,0.587990939617157,0.12817613780498505,0.734490692615509,0.044223904609680176,6.170941352844238,6.205603122711182,0,0,0,0.14,0.144,0.144
D,H,CLIP,GTE,63M,33M,clip_contrastive,multistage_contrastive,en,en,0.587990939617157,0.12817613780498505,0.701171875,0.041290283203125,6.170941352844238,6.208474636077881,0,0,1,0.18,0.124,0.18
D,I,CLIP,GTE,63M,335M,clip_contrastive,multistage_contrastive,en,en,0.587990939617157,0.12817613780498505,0.6904296875,0.0394287109375,6.170941352844238,6.208988189697266,0,0,1,0.198,0.15,0.198
D,J,CLIP,MPNet,63M,109M,clip_contrastive,mse_distill,en,en,0.587990939617157,0.12817613780498505,0.027711626142263412,0.08671156316995621,6.170941352844238,6.196639537811279,0,0,1,0.018,0.22,0.22
D,K,CLIP,BGE,63M,109M,clip_contrastive,contrastive_retromae,en,en,0.587990939617157,0.12817613780498505,0.4079745411872864,0.07462694495916367,6.170941352844238,6.1972808837890625,0,0,1,0.132,0.198,0.198
E,A,BGE,MiniLM,335M,22M,contrastive_retromae,contrastive_distill,en,en,0.5284730195999146,0.07011276483535767,0.028153816238045692,0.09815126657485962,6.200907230377197,6.19705057144165,0,0,1,0.058,0.796,0.796
E,B,BGE,E5,335M,560M,contrastive_retromae,weak_sup_distill,en,multi,0.5284730195999146,0.07011276483535767,0.7161543369293213,0.043992552906274796,6.200907230377197,6.208094596862793,0,0,0,0.674,0.678,0.678
E,C,BGE,BGE,335M,33M,contrastive_retromae,contrastive_retromae,en,en,0.5284730195999146,0.07011276483535767,0.40169668197631836,0.07173062115907669,6.200907230377197,6.2010722160339355,1,1,1,0.88,0.898,0.898
