strategy,side,harmful_threshold,mean_r1,n_zscore,n_baseline
always_baseline,-,-,41.43,0,132
always_zscore,-,-,53.48,132,0
adaptive,db_sim_mean,0.45,53.87,44,88
adaptive,db_sim_mean,0.50,53.87,44,88
adaptive,db_sim_mean,0.55,55.98,66,66
adaptive,db_sim_mean,0.60,57.41,77,55
adaptive,db_sim_mean,0.65,57.41,77,55
adaptive,db_sim_mean,0.70,55.12,88,44
adaptive,db_sim_mean,0.75,53.48,132,0
adaptive,query_sim_mean,0.45,43.35,44,88
adaptive,query_sim_mean,0.50,43.35,44,88
adaptive,query_sim_mean,0.55,44.08,66,66
adaptive,query_sim_mean,0.60,44.45,77,55
adaptive,query_sim_mean,0.65,44.45,77,55
adaptive,query_sim_mean,0.70,46.94,88,44
adaptive,query_sim_mean,0.75,53.48,132,0
oracle_per_pair,-,-,58.08,84,48
